15 | Set 3 | Block 3 | Status: Hit |
16 | Set 0 | Block 4 | Status: Hit |
17 | Set 1 | Block 4 | Status: Hit |
18 | Set 2 | Block 4 | Status: Hit |
19 | Set 3 | Block 4 | Status: Hit |
20 | Set 0 | Block 5 | Status: Hit |
21 | Set 1 | Block 5 | Status: Hit |
22 | Set 2 | Block 5 | Status: Hit |
23 | Set 3 | Block 5 | Status: Hit |
24 | Set 0 | Block 5 | Status: Miss |
25 | Set 1 | Block 5 | Status: Miss |
26 | Set 2 | Block 5 | Status: Miss |
27 | Set 3 | Block 6 | Status: Hit |
28 | Set 0 | Block 6 | Status: Hit |
29 | Set 1 | Block 6 | Status: Hit |
30 | Set 2 | Block 6 | Status: Hit |
31 | Set 3 | Block 6 | Status: Miss |
32 | Set 0 | Block 6 | Status: Miss |
33 | Set 1 | Block 6 | Status: Miss |
34 | Set 2 | Block 6 | Status: Miss |
35 | Set 3 | Block 6 | Status: Miss |
36 | Set 0 | Block 6 | Status: Miss |
37 | Set 1 | Block 6 | Status: Miss |
38 | Set 2 | Block 6 | Status: Miss |
39 | Set 3 | Block 6 | Status: Miss |
40 | Set 0 | Block 6 | Status: Miss |
41 | Set 1 | Block 6 | Status: Miss |
42 | Set 2 | Block 6 | Status: Miss |
43 | Set 3 | Block 6 | Status: Miss |
44 | Set 0 | Block 6 | Status: Miss |
45 | Set 1 | Block 6 | Status: Miss |
46 | Set 2 | Block 6 | Status: Miss |
47 | Set 3 | Block 6 | Status: Miss |
48 | Set 0 | Block 6 | Status: Miss |
49 | Set 1 | Block 6 | Status: Miss |
50 | Set 2 | Block 6 | Status: Miss |
51 | Set 3 | Block 6 | Status: Miss |
52 | Set 0 | Block 6 | Status: Miss |
53 | Set 1 | Block 6 | Status: Miss |
54 | Set 2 | Block 6 | Status: Miss |
55 | Set 3 | Block 6 | Status: Miss |
56 | Set 0 | Block 6 | Status: Miss |
57 | Set 1 | Block 6 | Status: Miss |
58 | Set 2 | Block 6 | Status: Miss |
59 | Set 3 | Block 6 | Status: Miss |
60 | Set 0 | Block 7 | Status: Hit |
61 | Set 1 | Block 7 | Status: Hit |
62 | Set 2 | Block 7 | Status: Hit |
63 | Set 3 | Block 7 | Status: Hit |
0 | Set 0 | Block 0 | Status: Hit |
1 | Set 1 | Block 0 | Status: Hit |
2 | Set 2 | Block 0 | Status: Hit |
3 | Set 3 | Block 0 | Status: Hit |
4 | Set 0 | Block 1 | Status: Hit |
5 | Set 1 | Block 1 | Status: Hit |
6 | Set 2 | Block 1 | Status: Hit |
7 | Set 3 | Block 1 | Status: Hit |
8 | Set 0 | Block 2 | Status: Hit |
9 | Set 1 | Block 2 | Status: Hit |
10 | Set 2 | Block 2 | Status: Hit |
11 | Set 3 | Block 2 | Status: Hit |
12 | Set 0 | Block 3 | Status: Hit |
13 | Set 1 | Block 3 | Status: Hit |
14 | Set 2 | Block 3 | Status: Hit |
15 | Set 3 | Block 3 | Status: Hit |
16 | Set 0 | Block 4 | Status: Hit |
17 | Set 1 | Block 4 | Status: Hit |
18 | Set 2 | Block 4 | Status: Hit |
19 | Set 3 | Block 4 | Status: Hit |
20 | Set 0 | Block 4 | Status: Miss |
21 | Set 1 | Block 4 | Status: Miss |
22 | Set 2 | Block 4 | Status: Miss |
23 | Set 3 | Block 5 | Status: Hit |
24 | Set 0 | Block 5 | Status: Hit |
25 | Set 1 | Block 5 | Status: Hit |
26 | Set 2 | Block 5 | Status: Hit |
27 | Set 3 | Block 5 | Status: Miss |
28 | Set 0 | Block 5 | Status: Miss |
29 | Set 1 | Block 5 | Status: Miss |
30 | Set 2 | Block 5 | Status: Miss |
1 | Set 1 | Block 0 | Status: Hit |
2 | Set 2 | Block 0 | Status: Hit |
3 | Set 3 | Block 0 | Status: Hit |
4 | Set 0 | Block 1 | Status: Hit |
5 | Set 1 | Block 1 | Status: Hit |
6 | Set 2 | Block 1 | Status: Hit |
7 | Set 3 | Block 1 | Status: Hit |
8 | Set 0 | Block 2 | Status: Hit |
9 | Set 1 | Block 2 | Status: Hit |
10 | Set 2 | Block 2 | Status: Hit |
11 | Set 3 | Block 2 | Status: Hit |
12 | Set 0 | Block 3 | Status: Hit |
13 | Set 1 | Block 3 | Status: Hit |
14 | Set 2 | Block 3 | Status: Hit |
15 | Set 3 | Block 3 | Status: Hit |
16 | Set 0 | Block 3 | Status: Miss |
17 | Set 1 | Block 3 | Status: Miss |
18 | Set 2 | Block 3 | Status: Miss |
19 | Set 3 | Block 4 | Status: Hit |
20 | Set 0 | Block 4 | Status: Hit |
21 | Set 1 | Block 4 | Status: Hit |
22 | Set 2 | Block 4 | Status: Hit |
23 | Set 3 | Block 4 | Status: Miss |
24 | Set 0 | Block 4 | Status: Miss |
25 | Set 1 | Block 4 | Status: Miss |
26 | Set 2 | Block 4 | Status: Miss |
27 | Set 3 | Block 5 | Status: Hit |
28 | Set 0 | Block 5 | Status: Hit |
29 | Set 1 | Block 5 | Status: Hit |
30 | Set 2 | Block 5 | Status: Hit |
31 | Set 3 | Block 5 | Status: Miss |
32 | Set 0 | Block 5 | Status: Miss |
33 | Set 1 | Block 5 | Status: Miss |
34 | Set 2 | Block 5 | Status: Miss |
35 | Set 3 | Block 5 | Status: Miss |
36 | Set 0 | Block 5 | Status: Miss |
37 | Set 1 | Block 5 | Status: Miss |
38 | Set 2 | Block 5 | Status: Miss |
39 | Set 3 | Block 5 | Status: Miss |
40 | Set 0 | Block 5 | Status: Miss |
41 | Set 1 | Block 5 | Status: Miss |
42 | Set 2 | Block 5 | Status: Miss |
43 | Set 3 | Block 5 | Status: Miss |
44 | Set 0 | Block 5 | Status: Miss |
45 | Set 1 | Block 5 | Status: Miss |
46 | Set 2 | Block 5 | Status: Miss |
47 | Set 3 | Block 5 | Status: Miss |
48 | Set 0 | Block 5 | Status: Miss |
49 | Set 1 | Block 5 | Status: Miss |
50 | Set 2 | Block 5 | Status: Miss |
51 | Set 3 | Block 5 | Status: Miss |
52 | Set 0 | Block 5 | Status: Miss |
53 | Set 1 | Block 5 | Status: Miss |
54 | Set 2 | Block 5 | Status: Miss |
55 | Set 3 | Block 5 | Status: Miss |
56 | Set 0 | Block 6 | Status: Hit |
57 | Set 1 | Block 6 | Status: Hit |
58 | Set 2 | Block 6 | Status: Hit |
59 | Set 3 | Block 6 | Status: Hit |
60 | Set 0 | Block 7 | Status: Hit |
61 | Set 1 | Block 7 | Status: Hit |
62 | Set 2 | Block 7 | Status: Hit |
63 | Set 3 | Block 7 | Status: Hit |
0 | Set 0 | Block 0 | Status: Hit |
1 | Set 1 | Block 0 | Status: Hit |
2 | Set 2 | Block 0 | Status: Hit |
3 | Set 3 | Block 0 | Status: Hit |
4 | Set 0 | Block 1 | Status: Hit |
5 | Set 1 | Block 1 | Status: Hit |
6 | Set 2 | Block 1 | Status: Hit |
7 | Set 3 | Block 1 | Status: Hit |
8 | Set 0 | Block 2 | Status: Hit |
9 | Set 1 | Block 2 | Status: Hit |
10 | Set 2 | Block 2 | Status: Hit |
11 | Set 3 | Block 2 | Status: Hit |
12 | Set 0 | Block 2 | Status: Miss |
13 | Set 1 | Block 2 | Status: Miss |
14 | Set 2 | Block 2 | Status: Miss |
15 | Set 3 | Block 3 | Status: Hit |
16 | Set 0 | Block 3 | Status: Hit |
17 | Set 1 | Block 3 | Status: Hit |
18 | Set 2 | Block 3 | Status: Hit |
19 | Set 3 | Block 3 | Status: Miss |
20 | Set 0 | Block 3 | Status: Miss |
21 | Set 1 | Block 3 | Status: Miss |
22 | Set 2 | Block 3 | Status: Miss |
23 | Set 3 | Block 4 | Status: Hit |
24 | Set 0 | Block 4 | Status: Hit |
25 | Set 1 | Block 4 | Status: Hit |
26 | Set 2 | Block 4 | Status: Hit |
27 | Set 3 | Block 4 | Status: Miss |
28 | Set 0 | Block 4 | Status: Miss |
29 | Set 1 | Block 4 | Status: Miss |
30 | Set 2 | Block 4 | Status: Miss |
1 | Set 1 | Block 0 | Status: Hit |
2 | Set 2 | Block 0 | Status: Hit |
3 | Set 3 | Block 0 | Status: Hit |
4 | Set 0 | Block 1 | Status: Hit |
5 | Set 1 | Block 1 | Status: Hit |
6 | Set 2 | Block 1 | Status: Hit |
7 | Set 3 | Block 1 | Status: Hit |
8 | Set 0 | Block 1 | Status: Miss |
9 | Set 1 | Block 1 | Status: Miss |
10 | Set 2 | Block 1 | Status: Miss |
11 | Set 3 | Block 2 | Status: Hit |
12 | Set 0 | Block 2 | Status: Hit |
13 | Set 1 | Block 2 | Status: Hit |
14 | Set 2 | Block 2 | Status: Hit |
15 | Set 3 | Block 2 | Status: Miss |
16 | Set 0 | Block 2 | Status: Miss |
17 | Set 1 | Block 2 | Status: Miss |
18 | Set 2 | Block 2 | Status: Miss |
19 | Set 3 | Block 3 | Status: Hit |
20 | Set 0 | Block 3 | Status: Hit |
21 | Set 1 | Block 3 | Status: Hit |
22 | Set 2 | Block 3 | Status: Hit |
23 | Set 3 | Block 3 | Status: Miss |
24 | Set 0 | Block 3 | Status: Miss |
25 | Set 1 | Block 3 | Status: Miss |
26 | Set 2 | Block 3 | Status: Miss |
27 | Set 3 | Block 4 | Status: Hit |
28 | Set 0 | Block 4 | Status: Hit |
29 | Set 1 | Block 4 | Status: Hit |
30 | Set 2 | Block 4 | Status: Hit |
31 | Set 3 | Block 4 | Status: Miss |
32 | Set 0 | Block 4 | Status: Miss |
33 | Set 1 | Block 4 | Status: Miss |
34 | Set 2 | Block 4 | Status: Miss |
35 | Set 3 | Block 4 | Status: Miss |
36 | Set 0 | Block 4 | Status: Miss |
37 | Set 1 | Block 4 | Status: Miss |
38 | Set 2 | Block 4 | Status: Miss |
39 | Set 3 | Block 4 | Status: Miss |
40 | Set 0 | Block 4 | Status: Miss |
41 | Set 1 | Block 4 | Status: Miss |
42 | Set 2 | Block 4 | Status: Miss |
43 | Set 3 | Block 4 | Status: Miss |
44 | Set 0 | Block 4 | Status: Miss |
45 | Set 1 | Block 4 | Status: Miss |
46 | Set 2 | Block 4 | Status: Miss |
47 | Set 3 | Block 4 | Status: Miss |
48 | Set 0 | Block 4 | Status: Miss |
49 | Set 1 | Block 4 | Status: Miss |
50 | Set 2 | Block 4 | Status: Miss |
51 | Set 3 | Block 4 | Status: Miss |
52 | Set 0 | Block 5 | Status: Hit |
53 | Set 1 | Block 5 | Status: Hit |
54 | Set 2 | Block 5 | Status: Hit |
55 | Set 3 | Block 5 | Status: Hit |
56 | Set 0 | Block 6 | Status: Hit |
57 | Set 1 | Block 6 | Status: Hit |
58 | Set 2 | Block 6 | Status: Hit |
59 | Set 3 | Block 6 | Status: Hit |
60 | Set 0 | Block 7 | Status: Hit |
61 | Set 1 | Block 7 | Status: Hit |
62 | Set 2 | Block 7 | Status: Hit |
63 | Set 3 | Block 7 | Status: Hit |
